student_id,cgpa,attendance,coding_score,aptitude_score,communication_score,projects_count,internships_count,hackathon_count,placement_status
49,7.73,52,73,60,59,5,2,4,1
50,5.92,80,33,63,97,5,3,4,1
51,9.85,100,35,100,18,5,2,4,1
52,8.88,50,69,97,90,2,2,3,1
53,9.7,61,42,33,8,1,3,0,1
54,9.47,88,15,54,68,3,3,0,1
55,7.99,53,58,58,4,7,2,2,1
56,9.61,91,52,2,88,1,1,1,1
57,5.44,62,18,16,25,7,3,2,0
58,5.98,83,97,77,18,4,0,0,1
59,5.23,91,88,77,29,1,2,3,1
60,6.63,70,94,45,99,5,1,2,1
61,6.94,71,40,37,47,1,3,1,0
62,6.36,53,80,34,15,4,3,5,1
63,9.14,67,46,0,70,4,1,2,1
64,6.78,54,93,28,17,5,0,4,1
65,6.4,68,53,3,55,6,2,1,0
66,7.71,51,54,60,20,2,3,4,1
67,5.7,61,94,96,30,7,0,3,1
68,9.01,66,18,16,0,0,2,0,0
69,5.37,59,61,27,2,3,0,2,0
70,9.93,83,98,49,94,3,2,2,1
71,8.86,55,92,89,24,5,2,4,1
72,5.99,57,58,7,7,6,0,4,0
73,5.03,100,64,33,64,3,2,0,0
74,9.08,60,67,58,61,1,3,2,1
75,8.53,61,27,17,6,4,3,0,1
76,8.65,58,17,94,6,7,0,4,1
77,8.86,51,25,58,7,6,0,5,1
78,5.37,57,18,26,18,4,2,4,0
79,6.79,60,54,15,16,5,2,1,1
80,5.58,85,56,9,10,4,0,4,0
81,9.32,59,5,75,48,7,1,4,1
82,8.12,70,0,21,10,0,0,5,0
83,6.65,69,7,15,40,4,1,0,0
84,5.32,97,96,11,61,4,1,1,0
85,6.55,57,50,74,51,6,0,1,1
86,6.63,85,84,83,65,7,0,2,1
87,8.65,78,87,50,67,1,0,5,1
88,8.19,91,24,0,91,2,1,3,0
89,9.44,61,46,26,96,3,3,2,1
90,7.36,63,54,66,74,1,3,2,1
91,5.6,97,63,11,66,1,0,2,0
92,8.57,99,82,29,39,1,0,1,1
93,8.8,70,92,8,4,3,2,0,1
94,7.81,71,9,52,84,5,2,4,1
95,8.85,70,55,60,21,1,2,1,1
96,7.47,93,11,53,36,2,0,4,0
97,7.61,99,32,36,10,5,3,4,1
98,7.14,79,70,64,43,4,3,3,1
99,5.13,88,16,41,85,2,0,2,0
100,5.54,69,60,48,52,6,0,3,0
101,5.16,73,9,3,76,7,1,2,0
102,8.18,72,30,63,60,5,1,1,1
103,6.57,56,59,78,66,4,3,4,1
104,7.54,58,69,50,12,4,2,3,1
105,9.54,50,16,90,91,1,3,5,1
106,6.25,75,49,71,10,1,1,1,0
107,7.05,87,36,59,10,3,3,1,1
108,8.78,87,81,86,84,0,1,5,1
109,6.14,93,61,78,84,2,1,2,1
110,5.38,71,89,90,6,3,2,4,1
111,6.45,93,79,30,16,3,2,2,1
112,5.81,59,71,71,47,2,1,2,1
113,9.65,55,87,93,13,7,0,1,1
114,9.04,66,76,57,62,5,2,2,1
115,8.17,100,28,81,63,6,1,0,1
116,9.36,99,31,3,96,2,0,5,1
117,9.02,87,87,21,74,4,0,5,1
118,5.93,73,79,2,76,6,3,4,1
119,9.46,100,10,78,64,7,3,5,1
120,7.7,59,95,98,33,0,2,2,1
121,9.04,57,5,46,8,7,0,2,1
122,9.48,70,34,37,76,5,2,3,1
123,6.59,55,32,32,36,1,1,4,0
124,5.55,70,17,77,29,0,2,4,0
125,6.14,88,36,47,40,0,0,5,0
126,7.14,73,12,64,44,7,3,2,1
127,9.09,82,73,25,100,1,2,0,1
128,9.3,67,100,7,46,0,3,3,1
129,5.03,77,89,49,6,5,2,0,1
130,7.55,81,80,79,13,5,1,2,1
131,7.09,61,63,37,47,5,0,4,1
132,6.11,97,0,9,5,3,2,4,0
133,5.6,91,62,41,33,3,1,0,0
134,6.69,76,88,36,79,5,1,1,1
135,9.71,59,33,25,100,1,1,2,1
136,6.62,95,9,91,99,1,3,4,1
137,7.59,91,83,11,45,2,3,5,1
138,8.52,81,6,83,58,2,1,1,1
139,6.82,91,55,48,69,7,1,4,1
140,9.86,75,79,13,7,5,2,5,1
141,9.81,74,36,45,23,6,2,4,1
142,6.26,60,28,34,66,0,0,1,0
143,7.49,72,11,28,3,0,2,0,0
144,6.5,83,16,11,95,1,0,2,0
145,6.42,89,47,81,0,6,0,1,1
146,5.18,72,83,43,33,0,0,1,0
147,8.05,78,25,65,8,7,3,4,1
148,7.51,80,82,1,62,4,2,5,1
149,5.26,56,11,58,75,3,1,1,0
150,6.39,89,20,16,9,0,0,2,0
151,9.54,82,41,9,9,0,1,0,1
152,6.2,70,60,17,49,2,0,5,0
153,5.72,51,57,21,43,4,2,0,0
154,7.45,67,53,82,47,0,0,0,1
155,9.93,96,33,57,86,3,2,2,1
156,6.21,82,6,52,5,7,1,4,0
157,8.36,86,34,0,87,0,2,5,0
158,8.81,83,14,87,23,1,1,5,1
159,6.19,69,64,60,84,4,2,2,1
160,8.64,84,89,99,94,0,0,5,1
161,6.84,100,98,88,57,6,0,1,1
162,8.16,99,24,99,63,4,2,3,1
163,8.17,67,58,30,93,0,1,3,1
164,7.68,95,78,30,55,3,1,3,1
165,5.45,73,85,65,97,7,1,0,1
166,9.18,57,5,18,81,7,2,5,1
167,6.6,79,51,52,11,3,2,2,1
168,5.93,93,78,75,34,4,2,5,1
169,5.2,59,87,73,70,5,2,2,1
170,7.95,72,20,94,88,2,1,5,1
171,8.39,98,70,21,5,2,1,0,1
172,5.08,60,92,22,64,1,3,1,0
173,7.56,51,95,86,79,5,2,3,1
174,6.13,75,31,14,59,2,3,3,0
175,8.23,85,52,25,67,4,2,5,1
176,5.87,82,58,2,28,2,3,0,0
177,8.45,96,68,86,37,1,1,3,1
178,6.93,62,61,19,91,0,1,5,0
179,9.68,89,3,39,21,2,3,4,1
180,5.69,74,85,38,7,4,0,5,0
181,6.71,53,17,71,62,4,2,2,1
182,5.57,91,98,17,95,1,3,3,1
183,9.62,68,80,40,96,7,3,3,1
184,9.39,67,55,69,12,6,0,4,1
185,6.29,86,23,26,26,1,1,1,0
186,8.3,79,65,99,17,6,3,5,1
187,9.09,68,12,14,17,3,1,1,0
188,7.78,72,61,36,76,3,2,5,1
189,7.65,65,53,57,85,7,0,4,1
190,6.21,50,14,4,61,3,1,1,0
191,5.47,61,68,72,13,6,3,0,1
192,9.49,73,2,6,10,0,0,4,0
193,9.5,83,36,40,85,4,0,5,1
194,8.17,57,36,83,99,7,0,2,1
195,6.7,67,100,9,16,3,0,2,1
196,6.75,97,2,61,50,4,0,2,0
197,8.63,54,62,25,95,1,2,5,1
198,9.49,75,34,67,13,7,2,3,1
199,9.44,79,51,23,56,0,0,4,1
200,8.9,62,86,77,92,1,3,4,1
201,8.21,68,27,40,5,4,3,1,1
202,5.42,78,93,64,56,5,2,4,1
203,5.81,52,17,16,3,6,1,4,0
204,9.49,75,35,23,10,5,0,1,1
205,8.03,89,32,26,73,3,3,4,1
206,5.05,61,63,6,91,5,2,4,0
207,5.51,51,25,72,10,1,2,0,0
208,8.32,60,47,98,98,7,1,5,1
209,5.03,93,39,11,78,6,1,1,0
210,5.8,77,16,84,7,5,3,0,1
211,7.74,67,39,2,83,2,1,3,0
212,8.46,62,6,78,58,0,1,1,1
213,8.26,86,56,84,20,4,0,5,1
214,6.12,71,7,9,64,7,2,4,0
215,8.56,61,55,32,92,6,2,4,1
216,6.19,51,30,45,23,7,1,0,0
217,6.63,86,58,58,29,3,2,0,1
218,8.73,56,57,51,98,1,2,3,1
219,8.25,75,11,5,96,0,3,3,0
220,9.25,75,47,1,83,3,2,5,1
221,8.29,73,30,28,56,1,1,4,0
222,7.84,61,82,39,79,5,3,2,1
223,5.47,65,62,96,72,6,2,3,1
224,6.84,72,73,60,94,4,2,4,1
225,6.33,89,38,67,16,6,3,3,1
226,6.22,58,75,67,58,2,3,1,1
227,9.87,81,19,28,30,7,2,0,1
228,6.97,64,100,100,63,2,0,4,1
229,9.46,86,47,61,47,7,0,3,1
230,8.16,62,70,59,22,6,2,0,1
231,8.97,54,53,83,69,5,2,2,1
232,7.51,60,77,40,29,4,3,3,1
233,7.88,59,74,86,54,0,3,4,1
234,7.46,62,70,81,6,4,2,1,1
235,5.98,90,28,88,74,5,2,0,1
236,8.61,95,73,64,97,1,2,0,1
237,6.4,99,92,63,11,6,2,1,1
238,5.12,64,72,78,59,6,0,4,1
239,8.23,91,99,62,51,6,3,5,1
240,5.89,56,47,97,26,6,1,2,1
241,9.7,89,73,47,11,0,2,5,1
242,9.77,77,82,19,12,2,2,1,1
243,9.57,81,55,36,71,5,2,2,1
244,6.85,84,94,63,79,1,1,4,1
245,5.08,64,16,90,61,5,3,3,1
246,9.64,97,8,85,28,3,3,3,1
247,7.14,85,96,4,34,3,2,5,1
248,9.83,70,33,33,59,3,2,4,1
249,9.82,55,44,38,28,2,3,2,1
250,9.27,50,87,66,30,4,1,5,1
251,6.47,53,8,80,76,0,2,1,0
252,6.93,60,6,61,75,6,1,5,1
253,9.26,93,15,87,60,2,1,4,1
254,6.58,75,18,23,1,7,3,4,0
255,5.85,86,5,2,32,1,2,3,0
256,7.78,72,10,70,71,1,0,1,0
257,9.68,78,75,88,61,3,3,3,1
258,8.48,70,60,66,58,7,3,2,1
259,7.85,97,41,78,39,0,0,2,1
260,5.49,94,12,92,48,3,2,0,0
261,8.08,94,11,49,31,1,1,4,0
262,9.95,98,84,28,37,1,1,1,1
263,5.7,76,73,73,91,6,1,1,1
264,7.59,88,19,31,78,4,2,3,1
265,9.39,89,49,86,86,6,3,5,1
266,8.7,62,35,38,87,4,3,5,1
267,8.49,72,91,8,12,6,3,3,1
268,8.51,65,87,100,84,4,3,5,1
269,6.8,79,68,13,53,3,3,1,1
270,6.47,53,36,67,75,5,0,3,1
271,9.05,89,11,63,12,7,1,5,1
272,9.05,65,98,19,38,0,1,0,1
273,9.34,80,39,27,22,4,2,4,1
274,9.57,91,53,13,91,2,0,0,1
275,7.56,74,1,43,13,4,3,5,0
276,7.51,93,49,97,16,3,3,2,1
277,8.99,61,40,76,23,0,3,1,1
278,8.25,75,44,94,57,4,0,0,1
279,8.51,86,8,96,62,6,2,0,1
280,8.98,97,61,38,33,0,0,3,1
281,9.45,82,85,27,50,2,2,3,1
282,6.69,77,46,63,85,1,1,3,1
283,6.88,58,4,88,9,6,2,5,1
284,5.47,61,75,31,71,0,1,2,0
285,7.89,54,0,8,20,5,2,0,0
286,5.18,77,43,27,36,4,1,4,0
287,7.33,84,21,94,6,6,1,3,1
288,7.71,54,37,16,89,3,3,2,1
289,6.43,83,18,86,12,5,2,5,1
290,7.95,95,79,76,79,7,3,2,1
291,5.15,83,30,54,29,7,1,3,0
292,5.19,62,66,9,30,5,3,1,0
293,9.11,88,86,79,4,3,0,0,1
294,6.8,91,41,5,31,3,3,3,0
295,5.64,94,81,47,15,7,2,4,1
296,7.61,97,25,74,72,3,3,0,1
297,8.85,63,12,66,21,5,0,2,1
298,6.08,60,57,91,63,0,3,4,1
299,8.11,91,17,40,43,3,1,0,0
300,5.43,87,66,78,39,1,1,4,0
301,5.26,53,86,59,36,5,1,2,1
302,7.66,82,2,76,77,5,2,3,1
303,7.7,56,54,41,15,5,3,4,1
304,8.19,90,88,80,42,2,1,3,1
305,8.63,57,90,70,83,0,3,2,1
306,9.88,86,57,27,62,0,0,2,1
307,7.58,100,62,12,14,3,0,4,0
308,6.61,59,90,80,43,5,2,4,1
309,8.98,92,51,14,89,6,3,2,1
310,6.35,64,88,35,8,5,0,4,1
311,7.19,87,23,91,64,3,2,4,1
312,5.39,64,71,14,98,0,2,4,0
313,5.13,54,8,74,43,7,1,5,0
314,9.81,78,36,55,19,3,0,4,1
315,9.18,68,93,94,69,7,3,0,1
316,8.48,100,82,3,73,3,0,2,1
317,7.04,59,52,98,32,3,0,2,1
318,5.87,61,79,97,79,3,3,1,1
319,5.78,53,23,51,99,3,3,3,0
320,6.25,80,20,90,5,4,1,1,0
321,7.75,67,99,9,82,4,2,4,1
322,8.57,65,39,93,30,5,3,4,1
323,8.3,89,61,44,65,5,3,0,1
324,6.4,85,69,83,17,6,0,0,1
325,9.77,74,68,28,27,6,3,0,1
326,8.69,72,13,52,67,4,3,0,1
327,7.77,61,41,28,64,0,0,0,0
328,8.06,83,49,22,79,2,0,0,1
329,7.1,85,60,56,44,0,0,0,0
330,6.24,86,3,49,57,6,1,0,0
331,6.78,52,71,20,46,5,2,5,1
332,8.79,58,87,42,65,4,3,0,1
333,5.07,67,74,9,51,0,0,2,0
334,5.58,92,16,75,35,2,0,0,0
335,5.23,84,84,29,0,7,2,3,1
336,5.2,83,56,50,38,3,1,0,0
337,9.28,90,89,32,86,1,3,5,1
338,8.52,63,47,17,89,4,1,4,1
339,7.37,53,43,77,74,4,1,5,1
340,5.49,78,44,21,0,2,1,5,0
341,7.46,90,90,63,74,3,0,4,1
342,7.37,94,79,20,87,3,2,0,1
343,5.87,99,89,0,73,1,2,0,0
344,7.17,64,32,14,13,7,2,4,1
345,6.99,77,30,35,77,3,1,3,0
346,8.08,91,46,46,70,7,3,1,1
347,8.18,65,5,53,22,2,1,2,0
348,5.23,61,71,85,42,7,2,4,1
349,6.87,54,70,31,21,5,0,0,1
350,8.13,83,33,57,59,3,1,2,1
351,7.52,91,52,45,99,5,0,0,1
352,9.28,50,13,53,26,6,2,1,1
353,8.29,88,15,32,55,6,1,1,1
354,5.81,81,42,38,1,5,0,4,0
355,5.35,75,72,22,38,2,1,2,0
356,8.21,66,73,42,50,4,2,5,1
357,5.13,97,80,54,18,4,3,2,1
358,7.93,76,11,1,61,4,2,5,0
359,9.7,73,69,65,70,0,3,1,1
360,7.88,84,18,37,75,4,3,0,1
361,6.94,95,40,28,66,2,2,5,0
362,8.22,91,52,66,62,1,0,5,1
363,7.29,88,28,70,4,6,1,4,1
364,7.73,75,69,35,71,3,1,3,1
365,9.71,98,58,28,77,4,1,1,1
366,6.93,87,88,36,60,0,3,5,1
367,9.81,72,63,99,99,6,3,1,1
368,9.53,71,23,86,70,7,2,4,1
369,5.98,53,88,44,6,6,0,0,1
370,5.35,98,15,15,49,5,2,2,0
371,5.5,58,51,30,45,0,2,1,0
372,5.09,53,79,33,95,2,0,4,0
373,5.47,56,5,49,71,1,3,4,0
374,8.42,72,36,64,75,4,2,4,1
375,5.36,51,84,81,73,4,2,2,1
376,6.59,98,3,61,13,0,3,1,0
377,9.22,73,97,42,72,7,1,5,1
378,5.12,89,91,55,93,2,0,4,0
379,9.07,80,37,14,68,0,0,2,0
380,6.41,96,40,47,64,0,1,0,0
381,5.59,80,91,48,64,1,0,3,0
382,8.48,96,80,80,56,2,1,1,1
383,8.14,89,13,43,61,1,2,2,0
384,9.39,97,70,9,19,2,0,3,1
385,8.68,100,85,19,74,4,0,3,1
386,9.02,92,50,69,25,3,2,2,1
387,6.41,83,64,7,43,5,3,5,1
388,5.89,73,92,44,66,3,3,5,1
389,8.75,98,51,33,69,7,2,2,1
390,9.03,75,94,95,61,7,0,2,1
391,9.95,65,29,50,44,6,0,4,1
392,7.06,96,56,3,10,2,0,0,0
393,6.86,62,78,38,71,3,1,5,1
394,8.88,64,81,83,92,0,3,4,1
395,6.7,76,98,23,73,4,0,3,1
396,9.65,53,29,87,33,7,3,3,1
397,9.29,65,97,54,87,5,3,3,1
398,7.14,79,41,25,45,5,0,2,0
399,8.75,93,10,24,80,6,2,1,1
400,8.77,79,26,35,31,5,2,4,1
401,5.52,85,23,70,74,4,3,1,0
402,9.51,52,98,73,97,3,1,0,1
403,7.53,71,38,57,87,5,3,0,1
404,9.13,98,71,11,4,7,3,4,1
405,6.6,71,17,0,62,5,2,3,0
406,9.48,99,76,49,28,2,0,5,1
407,6.95,99,44,24,47,0,0,0,0
408,5.05,98,87,79,97,2,1,1,1
409,9.53,61,86,4,15,3,2,1,1
410,5.46,70,11,82,24,4,2,5,0
411,6.6,53,48,67,100,4,3,2,1
412,9.75,80,93,5,71,2,2,3,1
413,9.75,93,30,25,28,1,3,2,1
414,7.87,80,91,54,51,2,1,4,1
415,8.16,72,21,38,45,7,2,0,1
416,7.24,69,43,8,24,1,2,5,0
417,6.47,64,91,44,22,6,3,5,1
418,6.64,72,63,13,33,2,2,5,0
419,8.36,77,76,54,66,1,0,2,1
420,8.76,65,24,8,93,1,1,2,0
421,8.96,86,50,14,33,5,0,4,1
422,8.95,70,6,36,31,6,3,1,1
423,5.46,64,5,49,28,5,3,1,0
424,7.47,66,23,83,8,1,3,4,1
425,5.29,99,18,71,65,1,1,5,0
426,7.75,86,82,95,56,0,2,1,1
427,7.21,62,99,20,38,7,0,4,1
428,9.44,68,8,56,6,1,2,1,1
429,6.75,79,35,18,68,7,3,4,1
430,5.59,94,39,92,7,5,2,1,1
431,5.71,67,92,57,95,1,1,5,1
432,8.81,63,23,94,17,4,3,2,1
433,8.09,85,47,5,81,0,2,2,0
434,5.51,85,62,3,48,1,0,5,0
435,5.42,69,68,42,15,5,3,1,1
436,8.5,68,52,92,20,5,3,5,1
437,5.36,94,53,41,9,3,1,4,0
438,9.11,93,41,2,3,5,1,2,1
439,8.53,56,44,0,43,7,0,0,1
440,5.41,93,89,54,7,0,2,1,0
441,5.42,53,13,14,54,7,2,0,0
442,9.93,83,28,46,18,5,3,0,1
443,6.87,51,5,84,63,4,3,3,1
444,6.85,54,6,45,39,2,2,0,0
445,9.06,59,36,57,50,4,2,0,1
446,9.74,81,52,94,8,6,2,5,1
447,9.93,91,17,70,29,7,3,3,1
448,8.77,90,86,80,55,4,1,3,1
449,6.88,62,37,82,80,0,1,3,1
450,5.42,88,58,38,43,0,0,4,0
451,8.89,54,0,2,58,3,2,3,0
452,7.79,59,67,29,14,5,2,5,1
453,7.12,59,43,34,67,3,2,4,1
454,9.53,87,46,56,69,0,0,1,1
455,5.56,76,34,28,60,5,2,4,0
456,7.46,100,86,49,79,0,1,1,1
457,5.06,70,90,61,89,0,2,3,1
458,7.34,57,59,51,100,2,0,3,1
459,5.28,50,89,13,22,4,3,1,1
460,5.59,77,51,34,76,3,3,2,0
461,5.59,98,7,27,46,7,1,5,0
462,8.25,88,79,57,16,3,1,4,1
463,8.73,63,40,29,56,1,1,5,1
464,7.92,70,2,89,53,6,3,5,1
465,9.81,79,95,6,90,2,2,0,1
466,6.87,70,68,38,51,0,0,3,0
467,6.43,98,83,94,21,0,0,4,1
468,9.34,58,13,68,100,2,2,5,1
469,6.12,66,95,34,82,5,3,4,1
470,9.82,54,25,51,38,3,3,5,1
471,5.06,80,69,13,98,0,0,3,0
472,9.85,89,57,62,12,6,1,5,1
473,5.22,87,99,35,77,1,1,1,0
474,9.46,92,39,90,94,3,0,3,1
475,7.64,68,50,23,65,4,0,4,1
476,9.96,85,4,39,51,7,2,2,1
477,5.37,99,76,28,100,7,2,5,1
478,7.77,82,31,52,13,6,2,1,1
479,9.85,62,79,21,72,2,2,3,1
480,7.62,63,0,71,73,3,2,0,1
481,8.15,82,76,14,62,7,2,3,1
482,8.48,78,53,68,70,4,1,4,1
483,7.27,92,10,63,27,1,0,4,0
484,8.14,98,52,3,88,5,3,0,1
485,7.92,85,7,74,45,7,2,1,1
486,9.51,93,24,17,27,2,1,4,1
487,5.23,59,39,41,1,5,0,1,0
488,6.4,80,31,29,16,7,0,1,0
489,9.75,55,87,14,58,6,0,3,1
490,9.45,50,27,69,51,0,2,1,1
491,7.28,56,77,54,3,5,2,5,1
492,8.1,76,2,52,76,0,3,4,0
493,6.39,70,99,15,81,6,2,4,1
494,5.94,77,90,72,2,7,0,2,1
495,7.32,65,83,33,36,4,0,1,1
496,6.77,95,78,26,96,3,1,2,1
497,7.92,72,61,12,23,1,1,3,0
498,5.39,69,26,99,71,4,3,2,1
499,9.87,87,44,26,34,1,1,1,1
500,9.93,74,91,72,1,5,3,4,1
501,8.49,77,24,68,32,1,1,3,1
502,7.68,54,60,85,75,5,0,1,1
503,6.55,70,43,30,85,1,2,3,0
504,9.07,67,96,2,76,2,2,0,1
505,8.42,96,45,29,9,4,3,1,1
506,5.81,55,13,20,80,7,2,0,0
507,9.55,78,7,98,61,7,2,2,1
508,9.11,68,47,5,42,2,1,1,1
509,9.75,82,13,91,68,3,0,0,1
510,8.63,50,64,31,58,7,2,5,1
511,8.07,94,79,41,8,3,0,4,1
512,7.09,52,81,100,76,0,1,2,1
513,9.66,91,6,61,59,7,1,1,1
514,9.33,70,78,88,62,0,2,1,1
515,5.23,84,87,31,51,7,2,4,1
516,5.13,90,48,98,22,7,1,4,1
517,6.88,89,54,85,29,0,1,0,1
518,9.05,52,12,87,42,6,3,0,1
519,9.94,74,72,38,67,3,3,0,1
520,5.75,94,55,63,20,1,0,3,0
521,7.97,87,55,29,42,5,1,2,1
522,6.9,94,14,62,72,6,0,1,0
523,9.85,69,56,95,6,1,1,2,1
524,9.21,93,57,30,15,4,0,4,1
525,9.19,94,34,86,22,3,3,5,1
526,7.34,83,87,39,57,7,1,2,1
527,7.07,70,96,32,86,7,1,2,1
528,6.37,97,15,62,30,7,0,0,0
529,5.28,72,7,24,68,5,0,4,0
530,9.32,55,92,35,5,5,2,2,1
531,9.06,100,86,23,64,5,2,1,1
532,10.0,62,44,94,58,0,3,0,1
533,9.98,98,94,57,27,5,1,2,1
534,7.78,72,39,38,17,5,1,4,1
535,8.84,58,53,45,87,3,0,5,1
536,9.72,66,13,76,76,1,3,1,1
537,9.25,51,58,9,96,6,1,5,1
538,6.24,68,93,86,9,6,3,4,1
539,7.25,68,52,81,6,7,2,4,1
540,5.65,56,26,31,36,1,0,4,0
541,9.77,91,46,96,95,2,1,5,1
542,8.03,91,79,35,44,2,0,3,1
543,6.14,69,5,27,85,4,2,1,0
544,8.36,58,54,15,15,3,3,4,1
545,8.09,66,96,15,87,2,3,3,1
546,6.79,76,43,17,13,2,2,0,0
547,5.57,96,17,7,10,3,2,3,0
548,8.36,51,15,79,82,1,1,0,1
549,7.6,85,11,74,86,7,1,5,1
550,8.86,68,19,69,33,4,1,3,1
551,7.6,66,44,0,59,4,1,5,0
552,9.26,54,63,61,12,4,1,4,1
553,7.76,88,58,75,38,2,3,3,1
554,7.8,67,92,37,43,1,1,3,1
555,9.38,56,93,91,27,4,2,4,1
556,7.02,66,89,44,39,3,2,0,1
557,5.67,88,21,57,15,4,1,4,0
558,5.14,85,96,80,49,6,2,1,1
559,8.78,89,46,0,27,0,0,3,0
560,8.1,94,28,31,67,1,3,1,1
561,8.52,53,85,7,91,0,3,4,1
562,6.06,87,44,39,59,1,1,5,0
563,5.68,74,76,55,11,5,0,4,0
564,5.07,54,8,62,15,3,1,2,0
565,6.75,79,23,87,52,5,1,1,1
566,7.95,61,14,73,53,2,2,2,1
567,6.96,53,35,73,48,2,3,1,1
568,7.19,73,12,35,35,5,0,5,0
569,9.52,78,90,88,61,1,2,2,1
570,6.74,58,43,56,83,4,3,2,1
571,7.57,53,100,73,25,0,3,1,1
572,8.92,100,70,82,55,3,1,4,1
573,6.98,73,71,44,89,4,0,0,1
574,8.11,63,100,78,21,2,1,4,1
575,9.31,54,77,79,72,4,2,0,1
576,9.75,67,75,1,68,7,1,1,1
577,5.74,91,35,92,80,7,1,3,1
578,9.63,68,60,67,48,5,3,4,1
579,7.46,61,80,49,97,7,3,2,1
580,6.29,67,39,28,1,5,2,4,0
581,7.3,66,92,94,52,6,3,1,1
582,9.9,79,26,80,6,6,3,3,1
583,7.46,73,0,9,99,0,3,3,0
584,6.64,60,33,26,76,7,1,4,1
585,8.17,84,67,14,19,2,0,4,1
586,6.2,72,87,59,93,1,2,5,1
587,5.38,66,20,30,29,7,1,4,0
588,5.64,50,32,20,74,3,2,1,0
589,5.64,64,6,59,94,5,1,0,0
590,5.76,81,64,57,66,7,2,5,1
591,5.69,58,2,40,58,3,3,0,0
592,8.2,64,50,45,65,2,2,2,1
593,5.91,77,78,44,2,1,0,1,0
594,6.73,73,94,25,55,6,2,5,1
595,9.48,84,53,50,78,5,0,3,1
596,7.37,71,79,35,16,0,2,5,1
597,8.34,76,73,51,51,3,3,2,1
598,5.86,68,92,80,6,7,2,3,1
599,5.96,94,58,50,4,2,1,5,0
600,5.2,61,5,2,97,3,3,3,0
601,5.84,69,28,13,96,7,3,4,0
602,6.39,50,16,48,53,6,1,3,0
603,5.89,70,59,76,60,6,3,5,1
604,5.44,98,21,90,15,1,3,3,0
605,5.6,94,23,0,100,0,1,1,0
606,7.3,50,80,56,66,6,3,4,1
607,6.03,59,84,16,58,1,3,4,1
608,6.82,96,50,49,46,6,3,2,1
609,7.52,81,49,97,47,5,3,4,1
610,8.45,88,10,13,63,4,2,0,1
611,5.2,71,55,58,49,1,3,1,0
612,9.0,67,70,80,84,1,3,2,1
613,8.14,97,41,2,40,3,3,0,1
614,5.41,95,38,97,71,6,2,3,1
615,9.37,81,68,39,21,1,0,0,1
616,9.6,76,47,88,53,2,3,2,1
617,5.31,77,56,65,4,5,0,4,0
618,6.38,67,20,33,16,3,0,1,0
619,9.03,88,81,89,100,3,1,2,1
620,8.74,98,98,94,77,4,1,0,1
621,5.92,78,19,8,40,5,0,0,0
622,6.05,67,14,93,91,7,2,2,1
623,6.85,93,68,83,94,2,3,5,1
624,7.42,57,76,20,80,5,3,5,1
625,8.09,80,50,92,34,1,3,2,1
626,6.84,83,75,24,39,4,1,5,1
627,7.31,56,61,43,21,2,1,2,1
628,8.74,85,84,24,47,4,3,4,1
629,5.18,67,36,8,52,5,0,2,0
630,6.26,87,5,61,92,0,1,3,0
631,8.57,58,70,25,9,5,3,1,1
